@relation pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-R1

@attribute pressed_key {32,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,241}
@attribute left_x numeric
@attribute left_y numeric
@attribute right_x numeric
@attribute right_y numeric

@data
104,18,2,?,?
104,20,2,?,?
104,18,3,?,?
104,18,1,?,?
104,19,2,?,?
104,18,2,?,?
104,19,1,?,?
104,17,2,?,?
104,20,2,?,?
104,18,2,?,?
104,16,2,?,?
104,17,1,?,?
104,17,2,?,?
104,17,2,?,?
106,16,2,?,?
106,17,1,?,?
106,17,2,21,2
106,16,1,?,?
106,15,1,?,?
106,14,1,?,?
106,18,0,?,?
106,18,1,?,?
106,16,1,?,?
106,15,1,?,?
106,11,2,?,?
106,11,2,?,?
106,18,2,?,?
106,14,1,?,?
106,16,2,?,?
106,8,3,?,?
106,9,2,?,?
106,8,3,?,?
106,8,3,?,?
106,19,1,?,?
106,14,1,?,?
106,14,2,?,?
106,14,2,?,?
106,16,2,?,?
106,18,1,?,?
106,13,1,?,?
106,18,1,19,1
106,12,0,?,?
106,16,2,20,2
106,16,2,?,?
106,13,1,19,2
106,16,2,19,2
106,13,1,20,2
106,15,2,19,2
106,15,1,18,2
106,16,2,20,1
106,15,1,19,2
106,16,2,20,2
106,17,2,20,2
106,17,2,18,1
106,15,2,19,2
106,19,1,19,2
106,18,1,20,2
106,15,1,19,1
106,15,1,20,3
106,13,1,19,1
106,14,1,19,2
106,18,1,19,3
106,19,2,22,3
106,16,2,19,2
106,16,2,21,2
106,15,1,17,2
106,15,2,17,2
106,17,2,19,3
106,15,1,19,2
106,18,1,18,2
106,16,1,19,3
106,13,2,19,3
106,15,1,19,2
106,13,1,19,2
106,16,2,22,2
106,16,2,19,1
106,16,2,20,2
106,16,1,19,2
106,16,2,20,2
106,16,2,19,1
106,15,2,19,2
106,18,1,19,1
106,16,1,21,3
106,15,1,17,2
106,16,1,20,2
106,16,1,18,2
106,18,2,21,2
106,14,1,19,2
106,18,1,21,2
106,15,2,?,?
106,18,1,?,?
106,20,2,?,?
106,14,2,?,?
106,17,2,?,?
106,14,2,?,?
106,14,2,?,?
106,18,0,22,2
106,13,1,?,?
106,17,1,?,?
106,17,1,?,?
106,16,2,?,?
106,17,2,?,?
106,13,1,?,?
106,18,1,?,?
106,13,2,19,2
106,16,1,20,2
106,17,1,?,?
106,18,2,19,2
106,17,1,?,?
107,15,2,20,4
107,13,1,18,2
107,15,2,21,3
107,13,1,19,3
107,16,2,?,?
107,16,2,18,2
107,17,3,20,3
107,16,1,?,?
107,17,3,?,?
107,13,1,?,?
107,14,1,21,2
107,14,2,?,?
107,16,2,?,?
107,17,2,?,?
107,17,2,?,?
107,15,1,?,?
107,13,1,?,?
107,17,1,?,?
107,16,1,?,?
107,16,1,?,?
107,18,1,?,?
107,15,2,?,?
107,16,1,?,?
107,16,1,?,?
107,13,2,?,?
107,13,2,?,?
107,16,1,?,?
107,16,1,?,?
107,17,2,?,?
107,12,1,?,?
107,17,2,?,?
107,16,2,?,?
107,16,1,?,?
107,17,2,?,?
107,14,2,?,?
107,15,2,?,?
107,14,2,?,?
107,14,2,?,?
107,14,1,?,?
107,14,2,?,?
107,13,2,?,?
107,15,1,?,?
107,14,1,?,?
107,16,2,?,?
