@relation pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute left_x numeric
@attribute left_y numeric
@attribute right_x numeric
@attribute right_y numeric
@attribute centre_x numeric
@attribute centre_y numeric
@attribute head_angle numeric
@attribute pressed_key {8,13,39,44,45,46,48,49,50,51,52,53,54,55,56,57,60,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,161,180,241}

@data
16,4,21,2,354,203,-6.88,111
13,4,18,2,354,199,-9,104
14,5,19,4,351,199,-10.17,101
13,4,17,2,348,199,-9.07,99
14,5,16,2,343,201,-10.62,97
12,4,16,1,343,201,-9.07,116
13,5,16,2,342,200,-10.62,111
12,4,16,2,340,201,-10.69,109
13,5,17,3,339,197,-10.62,98
14,5,15,3,346,199,-9.07,101
12,4,15,1,350,200,-9.07,44
17,4,22,3,370,207,-4.47,121
13,2,17,2,360,203,-4.5,115
13,3,16,2,357,205,-5.17,105
15,3,17,2,372,204,-2.55,113
13,2,16,2,378,206,0.37,117
12,2,16,2,377,206,-0.37,101
13,3,16,2,376,206,0.38,109
12,2,15,2,374,206,1.12,97
13,3,17,1,370,205,-0.75,110
14,3,18,3,371,204,-0.37,100
12,3,16,2,372,205,0.38,111
13,4,17,2,373,203,0,101
13,3,17,3,373,203,0.37,110
11,3,17,2,370,203,0,115
15,2,16,1,370,205,-2.59,117
11,3,15,1,366,203,-0.37,111
12,3,17,2,359,201,-3,98
11,3,17,3,352,200,-3.4,115
12,4,15,3,351,200,-4.16,101
11,4,16,3,347,202,-5.7,113
11,3,16,2,348,202,-5.7,117
20,5,23,3,344,199,-8.7,105
19,3,24,3,346,201,-7.21,111
9,4,14,2,336,205,-8.96,103
11,5,15,2,339,201,-9.2,114
9,5,15,2,341,202,-8.57,97
10,5,16,3,343,202,-8.07,115
14,1,?,?,346,202,-8.45,97
20,4,23,2,347,201,-8.83,100
21,4,23,2,352,200,-6.83,101
19,4,23,2,366,199,-5.7,99
?,?,22,3,369,200,-5.32,111
20,4,23,3,372,200,-5.25,114
20,5,23,4,384,199,-3.38,100
20,3,23,3,387,200,-2.25,101
20,4,22,3,389,200,-1.89,114
19,4,21,3,393,199,-1.14,111
19,4,21,2,393,200,0.39,115
21,4,22,2,400,199,-1.9,121
?,?,20,3,400,198,-1.56,100
19,4,22,2,404,201,-1.14,101
17,3,22,4,401,202,1.16,99
19,3,22,3,400,203,-0.38,97
19,3,22,3,402,204,0,98
19,3,21,3,402,205,0.76,114
20,3,23,3,403,204,0.38,113
19,3,24,0,403,203,1.15,115
20,3,23,3,400,202,1.52,101
18,3,23,2,402,204,1.53,115
21,2,22,3,403,203,0.76,99
19,4,22,4,402,202,1.91,111
17,3,20,3,404,203,2.3,103
18,4,21,3,404,203,1.52,105
19,4,21,3,406,203,0.38,100
18,3,23,4,407,203,1.91,97
19,4,22,3,407,203,2.68,115
18,3,22,3,407,203,1.53,44
?,?,?,?,408,205,2.37,113
18,3,20,4,405,204,2.3,117
17,3,?,?,400,204,0.77,101
19,4,21,2,392,202,1.9,114
21,4,24,4,395,203,3.39,114
16,3,29,5,398,205,2.7,97
18,3,21,2,390,203,0.38,97
18,3,20,2,388,201,0,112
15,3,19,3,386,201,-0.75,97
17,4,21,3,377,199,-3.81,114
18,4,20,3,374,199,-3.75,116
16,4,21,2,370,198,-4.98,97
17,5,18,2,368,196,-4.91,114
16,6,?,?,364,196,-8.07,100
17,5,20,3,365,195,-9.81,101
16,4,18,2,361,196,-9.95,110
16,5,21,2,359,196,-9.13,111
14,4,20,2,359,198,-8.7,115
15,5,20,3,359,198,-9.27,111
17,5,19,3,361,197,-10.1,116
17,5,20,3,361,197,-8.26,114
15,5,17,2,361,198,-9.13,111
15,5,19,2,360,197,-9.58,115
16,4,18,3,361,198,-8.33,108
10,6,17,5,359,199,-8.64,97
15,5,19,3,354,199,-9.58,101
14,6,22,3,359,200,-8.07,115
14,4,18,2,358,198,-8.51,116
16,5,18,3,358,196,-10.54,101
15,4,22,1,376,213,-5.28,46
18,4,20,2,421,211,-6.18,60
21,3,23,3,386,227,-2.92,97
18,4,21,2,379,227,-4.07,115
15,4,18,3,385,224,-1.08,105
15,4,24,3,382,226,-0.36,99
16,4,17,2,392,224,0.74,111
18,3,24,3,397,227,0.75,110
20,3,21,3,392,228,0.73,99
17,4,20,1,375,228,-2.94,101
19,5,22,1,373,229,-2.92,98
16,4,26,2,382,229,-2.2,105
16,3,19,2,393,228,0.37,100
18,2,18,1,391,227,0.74,111
24,3,?,?,381,219,-2.52,101
21,4,20,3,379,221,-2.24,115
19,5,19,3,373,220,-3.65,116
18,4,21,3,369,219,-5.21,101
?,?,?,?,392,219,-1.11,109
15,3,20,1,396,223,-1.86,117
15,4,23,3,402,225,0,110
18,3,22,2,395,226,-1.47,100
14,4,22,2,396,227,-1.46,111
18,5,23,2,391,221,-1.1,101
18,3,23,2,386,220,-1.47,114
19,4,22,3,384,221,-3.33,97
15,3,20,1,384,220,-2.55,101
16,5,23,2,383,224,-3.67,108
16,4,22,3,380,222,-2.96,100
18,3,23,1,379,223,-3.28,101
16,4,17,1,382,222,-2.57,108
16,5,17,2,388,222,-1.46,111
19,1,20,1,389,216,-1.82,115
16,3,19,1,385,222,-3.33,109
19,4,21,3,388,222,-1.1,105
19,3,22,3,391,221,-1.47,115
19,4,21,3,386,222,-2.94,116
18,4,20,1,382,221,-2.57,101
19,4,23,2,379,222,-3.28,114
18,3,22,2,388,223,-3.28,105
14,4,20,2,399,225,-0.37,111
18,3,24,2,394,225,-0.73,115
16,4,21,3,389,221,-1.86,121
