@relation pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute left_x numeric
@attribute left_y numeric
@attribute right_x numeric
@attribute right_y numeric
@attribute centre_x numeric
@attribute centre_y numeric
@attribute head_angle numeric
@attribute pressed_key {8,13,39,43,44,45,46,48,49,50,51,52,53,54,55,56,57,60,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,161,180,186,231,241}

@data
16,2,15,2,342,252,-1.44,113
15,3,15,2,343,252,-1.44,113
14,2,16,2,343,252,-0.98,113
15,2,16,2,343,252,-0.97,113
15,2,16,2,342,252,-0.97,113
15,2,16,3,342,252,0,113
15,2,17,2,343,252,0.49,113
17,2,17,2,342,252,0.96,113
16,1,16,2,341,253,0,113
16,2,16,2,341,253,-1.45,113
15,2,17,2,342,252,-1.45,113
15,2,16,2,343,252,-0.48,113
16,2,16,2,341,253,-0.96,113
14,3,15,3,342,253,-0.98,113
13,2,17,2,341,253,-1.94,113
15,2,18,3,343,254,-0.97,113
15,3,17,2,343,254,-0.48,113
15,2,15,2,343,253,-0.49,113
15,2,18,3,342,252,-0.48,113
16,2,18,2,343,253,0.49,113
15,2,18,2,343,253,-0.96,113
14,2,16,2,343,255,0,113
15,3,16,3,344,254,-0.48,113
14,2,16,2,344,253,-0.48,113
16,2,16,2,344,254,-0.97,113
15,2,15,2,344,253,-0.96,113
14,2,16,2,344,254,0,113
14,1,16,2,340,252,-0.96,119
15,2,15,3,343,253,0,119
15,2,17,2,343,253,-0.48,119
15,2,16,2,343,253,0,119
15,1,15,2,342,254,0.5,119
15,1,14,2,342,253,0.49,119
14,2,13,2,342,253,-0.49,119
14,2,16,3,342,253,0,119
15,2,16,2,341,254,0,119
15,2,15,2,342,254,-0.48,119
15,1,15,3,342,254,0.49,119
14,1,14,2,342,254,0.49,119
15,1,15,2,342,254,0.98,119
15,2,17,2,342,254,0,119
14,1,15,2,342,255,0,119
14,1,15,2,341,255,0,119
15,1,15,2,342,255,0,119
14,2,15,2,342,255,0,119
14,2,16,2,343,254,0.99,119
13,1,17,2,343,255,0.49,119
14,1,15,2,343,255,0,119
14,1,16,2,343,255,0.5,119
14,2,15,2,344,255,0.49,119
14,2,15,2,344,255,0,119
14,1,15,2,343,255,0.5,119
14,2,16,2,343,254,0.5,119
15,2,15,2,343,255,0,119
15,2,15,2,343,255,0.49,119
14,2,16,3,343,255,0.49,119
13,1,14,2,343,256,0.5,119
15,1,15,2,343,256,0.49,119
14,2,15,2,343,256,0,119
15,2,16,2,343,255,0,119
15,1,16,1,343,255,0,119
15,2,17,3,344,256,0.97,119
15,2,16,3,343,256,0,119
14,1,16,2,343,256,0.98,119
14,1,18,2,343,256,0.98,119
15,2,15,2,343,256,0.49,119
15,2,17,3,343,255,0.98,119
14,2,15,3,343,256,0,119
13,2,17,2,342,254,0.49,119
14,0,18,2,343,256,0.99,119
13,1,17,2,342,257,1.46,119
16,2,18,2,342,257,0.97,119
14,1,15,2,343,256,0.49,119
15,2,17,2,343,257,0.49,119
14,1,16,2,343,255,0.97,119
14,1,16,2,342,256,0.98,119
12,2,16,3,342,256,0.49,119
14,1,17,2,342,256,0.5,119
15,2,16,2,342,255,0,119
14,2,17,2,342,256,0,119
15,1,16,3,342,256,0.97,119
14,1,15,2,342,256,0.49,119
15,1,16,2,343,256,0.49,119
14,1,17,1,342,255,0.97,119
13,1,15,2,343,256,0.98,119
15,2,15,2,342,256,0,119
14,1,17,2,342,256,0.49,119
16,2,16,2,342,256,0.97,119
14,2,18,2,343,256,0.49,119
14,2,15,2,343,255,0.49,119
14,2,18,2,343,255,0.98,119
14,2,16,2,342,256,1.46,119
14,2,16,2,342,256,0.49,119
12,1,16,2,342,257,0.49,119
13,2,17,3,342,256,0,119
14,2,17,2,342,256,0.5,119
14,2,17,2,342,255,0.49,119
14,1,15,2,342,256,0.5,119
15,2,18,2,342,257,0.99,119
14,2,17,2,342,257,0.5,119
13,1,15,2,342,256,1.46,119
16,1,17,3,343,257,0.49,119
15,1,15,2,342,257,1.46,119
15,2,15,2,343,256,0.49,119
14,1,15,2,342,256,0.98,119
15,2,16,2,342,257,1.48,119
16,2,17,2,342,256,0.97,119
15,1,17,2,341,256,0.49,119
13,2,16,2,342,257,0.49,119
15,2,18,2,343,256,0.98,119
15,2,15,2,343,256,0.49,119
13,1,15,2,342,257,0.98,119
14,1,16,1,342,257,1.46,119
15,2,16,2,343,257,0.98,119
14,2,16,2,342,257,1.46,119
14,1,16,2,343,257,0.49,119
13,1,17,2,343,256,1.46,119
14,2,17,2,343,257,1.45,119
14,1,15,2,343,257,0.49,119
14,1,16,2,343,258,0.49,119
14,1,15,2,343,257,0.49,119
12,1,14,1,342,257,0.98,119
14,1,17,2,343,257,0.49,119
14,1,16,1,343,257,1.46,119
14,1,16,3,343,257,0,119
14,1,16,2,343,258,0.49,119
16,2,18,2,342,256,0.49,119
14,1,17,1,343,257,0.99,119
13,1,16,1,343,258,0.99,119
14,1,16,1,343,257,0.97,119
15,2,17,2,344,258,1.48,119
16,1,18,2,344,257,0.97,119
13,1,16,2,343,257,0.98,119
16,2,17,2,343,257,1.45,119
14,1,15,2,343,258,1.46,119
14,2,16,2,341,255,0.98,101
14,1,16,2,342,256,0.49,101
14,2,16,2,342,256,0.97,101
13,1,16,2,342,256,0.49,101
14,2,16,2,341,256,0,101
14,2,16,2,341,256,0,101
14,2,16,3,341,257,0.98,101
14,2,18,2,341,257,0.99,101
12,2,16,1,341,258,0.49,101
13,2,16,2,341,258,0,101
14,2,16,1,341,257,0.97,101
10,1,17,2,341,258,0.98,101
15,2,15,2,340,256,0.98,101
13,2,14,1,341,257,0.97,101
14,2,15,2,340,257,0,101
14,2,17,3,341,258,0.49,101
13,2,15,2,341,258,0,101
14,2,18,2,341,257,0.49,101
13,2,15,1,342,257,0.98,101
14,2,17,2,341,255,0.49,101
12,2,17,2,340,256,0.49,101
14,0,17,1,339,256,0,101
15,2,15,3,337,254,0.49,101
14,1,15,2,336,255,-0.48,101
15,1,16,1,337,255,-0.47,101
14,1,17,2,337,254,0,101
13,1,19,2,337,254,0,101
13,1,16,2,338,254,0,101
15,2,18,2,338,255,0,101
15,1,15,2,338,254,0,101
14,1,16,1,338,256,0,101
13,1,15,1,339,256,-0.48,101
15,1,15,1,339,256,0.48,101
14,2,17,2,339,256,0.49,101
15,1,15,2,338,255,0,101
13,1,16,2,339,255,0,101
13,1,15,1,339,257,0.49,101
13,1,15,2,339,256,0.49,101
14,2,16,2,339,257,0.49,101
13,1,15,2,339,257,0.49,101
14,2,16,2,339,257,0.49,101
15,2,17,2,338,257,0,101
13,1,17,2,338,257,-0.97,101
15,2,17,2,337,257,0,101
10,2,15,2,337,256,0.49,101
13,2,17,2,335,257,0,101
15,1,18,2,335,257,0.49,101
13,1,17,1,335,257,0,101
14,1,16,2,336,257,-0.96,101
13,2,15,2,337,257,0,101
13,2,15,2,336,257,-0.48,101
14,2,16,2,336,257,-0.48,101
14,2,15,2,337,257,0,101
13,2,16,2,336,257,0,101
14,1,17,2,336,257,-0.48,101
13,1,17,1,336,258,0.49,101
15,1,16,2,336,258,-0.48,101
14,2,15,1,336,257,-0.48,101
12,1,17,2,336,258,-0.97,101
14,1,13,1,336,257,-0.48,101
11,2,16,1,337,258,0,101
14,1,18,3,337,257,0,101
14,1,15,2,337,258,0,101
13,1,18,3,336,258,-0.48,101
13,1,17,2,337,258,-0.48,101
12,1,19,2,337,258,-0.49,101
13,1,15,2,337,258,-0.48,101
13,2,14,2,336,258,0,101
13,1,16,1,336,258,0.5,101
13,2,17,2,337,258,0,101
13,2,16,2,336,257,0,101
14,2,16,2,336,258,0,101
13,1,17,2,336,258,0,101
15,1,16,2,336,258,0.49,101
12,2,16,2,336,257,0.49,101
13,1,18,2,336,259,0,101
14,2,18,2,336,258,0,101
14,1,19,2,336,258,-0.48,101
13,1,15,2,336,258,0.49,101
13,2,19,2,336,258,0.49,101
14,1,16,2,336,258,0.49,101
14,2,18,2,336,258,-0.97,101
14,2,15,2,336,259,0.98,101
14,2,16,2,337,258,0,101
14,1,16,2,337,259,0,101
14,1,17,1,337,258,-0.97,101
13,1,19,2,336,258,0,101
10,2,17,2,336,258,0,101
13,2,16,2,337,258,0.49,101
13,1,15,2,336,258,0.49,101
14,2,17,1,336,258,0.49,101
16,2,17,2,336,258,0.49,101
14,2,17,2,336,258,0.49,101
14,1,15,2,336,259,0.49,101
10,1,15,1,336,259,0,101
15,2,15,2,336,258,0.49,101
13,1,17,2,336,258,0.5,101
15,2,16,2,336,259,-0.48,101
13,1,16,2,336,259,0.5,101
13,2,16,2,336,258,0.49,101
14,1,17,2,336,259,0,101
14,1,16,1,336,259,0.49,101
12,1,17,2,336,259,0,101
12,2,15,2,329,257,0,114
14,1,15,2,330,256,0.49,114
13,1,15,2,328,255,-0.48,114
15,0,16,2,328,255,-0.48,114
12,1,18,2,328,256,-0.98,114
13,2,17,1,330,256,0.49,114
13,2,19,3,332,257,0.97,114
15,1,15,2,332,255,0.97,114
14,2,14,2,332,256,0.99,114
13,2,15,2,331,257,0,114
14,2,16,3,331,257,-0.97,114
14,1,18,2,330,258,0,114
13,2,15,2,329,257,-0.48,114
12,1,15,1,329,258,0,114
13,2,17,1,329,258,-0.48,114
13,1,14,1,328,259,-0.48,114
14,2,16,2,328,259,-0.48,114
14,1,17,1,328,257,-0.96,114
14,2,15,1,328,258,0,114
13,1,15,1,327,259,-0.48,114
11,2,16,2,327,259,-0.97,114
14,1,14,1,326,260,-0.96,114
14,2,15,2,326,259,-1.44,114
13,2,19,2,326,258,-0.95,114
12,2,17,2,326,260,-1.44,114
13,1,16,2,326,258,-0.95,114
15,1,17,2,326,259,-1.44,114
14,1,16,2,325,258,-1.92,114
13,2,18,2,326,258,-0.96,114
13,2,18,1,325,259,-1.44,114
14,1,16,2,325,258,-1.44,114
14,2,16,1,325,258,-0.95,114
14,1,18,1,325,258,-1.43,114
15,1,16,2,325,258,-0.95,114
12,2,17,2,325,258,-1.44,114
12,1,16,1,325,259,-0.48,114
14,1,15,1,325,259,-0.47,114
14,2,19,2,326,258,-1.43,114
14,2,17,2,325,259,-0.95,114
